Population Size,Tournament Size,Elitism Proportion,Crossover Rate,Mutation Rate,Best Value for Solution Found,Generation Solution Found
200,20,0.01,0.6,0.01,1102,831
200,20,0.01,0.6,0.05,1135,581
200,20,0.01,0.6,0.1,1158,816
200,20,0.01,0.6,0.2,1199,523
200,20,0.01,0.6,0.3,1167,186
200,20,0.05,0.6,0.01,1049,412
200,20,0.05,0.6,0.05,1138,652
200,20,0.05,0.6,0.1,1149,990
200,20,0.05,0.6,0.2,1219,425
200,20,0.05,0.6,0.3,1284,536
200,20,0.1,0.6,0.01,1106,986
200,20,0.1,0.6,0.05,1153,546
200,20,0.1,0.6,0.1,1188,232
200,20,0.1,0.6,0.2,1258,672
200,20,0.1,0.6,0.3,1319,577
200,20,0.2,0.6,0.01,1125,669
200,20,0.2,0.6,0.05,1159,790
200,20,0.2,0.6,0.1,1177,514
200,20,0.2,0.6,0.2,1305,637
200,20,0.2,0.6,0.3,1341,538
200,20,0.3,0.6,0.01,1107,279
200,20,0.3,0.6,0.05,1178,749
200,20,0.3,0.6,0.1,1259,661
200,20,0.3,0.6,0.2,1321,378
200,20,0.3,0.6,0.3,1405,711
400,40,0.01,0.6,0.01,956,340
400,40,0.01,0.6,0.05,991,694
400,40,0.01,0.6,0.1,995,278
400,40,0.01,0.6,0.2,1060,400
400,40,0.01,0.6,0.3,1121,324
400,40,0.05,0.6,0.01,946,469
400,40,0.05,0.6,0.05,948,742
400,40,0.05,0.6,0.1,991,615
400,40,0.05,0.6,0.2,1022,474
400,40,0.05,0.6,0.3,1098,375
400,40,0.1,0.6,0.01,981,873
400,40,0.1,0.6,0.05,953,376
400,40,0.1,0.6,0.1,1015,347
400,40,0.1,0.6,0.2,1058,633
400,40,0.1,0.6,0.3,1109,862
400,40,0.2,0.6,0.01,957,201
400,40,0.2,0.6,0.05,952,986
400,40,0.2,0.6,0.1,1000,496
400,40,0.2,0.6,0.2,1063,787
400,40,0.2,0.6,0.3,1111,870
400,40,0.3,0.6,0.01,1048,227
400,40,0.3,0.6,0.05,1040,716
400,40,0.3,0.6,0.1,1043,395
400,40,0.3,0.6,0.2,1110,795
400,40,0.3,0.6,0.3,1190,311
600,60,0.01,0.6,0.01,901,617
600,60,0.01,0.6,0.05,883,812
600,60,0.01,0.6,0.1,905,835
600,60,0.01,0.6,0.2,949,423
600,60,0.01,0.6,0.3,1020,966
600,60,0.05,0.6,0.01,860,623
600,60,0.05,0.6,0.05,893,844
600,60,0.05,0.6,0.1,911,757
600,60,0.05,0.6,0.2,963,870
600,60,0.05,0.6,0.3,1013,528
600,60,0.1,0.6,0.01,879,553
600,60,0.1,0.6,0.05,882,941
600,60,0.1,0.6,0.1,974,248
600,60,0.1,0.6,0.2,936,438
600,60,0.1,0.6,0.3,1016,279
600,60,0.2,0.6,0.01,887,839
600,60,0.2,0.6,0.05,945,809
600,60,0.2,0.6,0.1,979,930
600,60,0.2,0.6,0.2,979,611
600,60,0.2,0.6,0.3,1054,554
600,60,0.3,0.6,0.01,932,274
600,60,0.3,0.6,0.05,935,544
600,60,0.3,0.6,0.1,950,910
600,60,0.3,0.6,0.2,993,410
600,60,0.3,0.6,0.3,1077,255
800,80,0.01,0.6,0.01,830,728
800,80,0.01,0.6,0.05,840,604
800,80,0.01,0.6,0.1,855,624
800,80,0.01,0.6,0.2,920,575
800,80,0.01,0.6,0.3,934,795
800,80,0.05,0.6,0.01,874,875
800,80,0.05,0.6,0.05,856,669
800,80,0.05,0.6,0.1,868,306
800,80,0.05,0.6,0.2,911,296
800,80,0.05,0.6,0.3,945,510
800,80,0.1,0.6,0.01,845,600
800,80,0.1,0.6,0.05,882,533
800,80,0.1,0.6,0.1,843,687
800,80,0.1,0.6,0.2,918,513
800,80,0.1,0.6,0.3,948,324
800,80,0.2,0.6,0.01,898,322
800,80,0.2,0.6,0.05,883,696
800,80,0.2,0.6,0.1,903,298
800,80,0.2,0.6,0.2,935,894
800,80,0.2,0.6,0.3,992,532
800,80,0.3,0.6,0.01,863,596
800,80,0.3,0.6,0.05,891,567
800,80,0.3,0.6,0.1,893,381
800,80,0.3,0.6,0.2,961,995
800,80,0.3,0.6,0.3,1012,737
1000,100,0.01,0.6,0.01,846,660
1000,100,0.01,0.6,0.05,814,824
1000,100,0.01,0.6,0.1,832,412
1000,100,0.01,0.6,0.2,873,802
1000,100,0.01,0.6,0.3,865,405
1000,100,0.05,0.6,0.01,826,759
1000,100,0.05,0.6,0.05,802,287
1000,100,0.05,0.6,0.1,832,553
1000,100,0.05,0.6,0.2,874,377
1000,100,0.05,0.6,0.3,895,143
1000,100,0.1,0.6,0.01,823,733
1000,100,0.1,0.6,0.05,844,548
1000,100,0.1,0.6,0.1,805,354
1000,100,0.1,0.6,0.2,907,582
1000,100,0.1,0.6,0.3,922,969
1000,100,0.2,0.6,0.01,860,694
1000,100,0.2,0.6,0.05,841,375
1000,100,0.2,0.6,0.1,873,398
1000,100,0.2,0.6,0.2,894,855
1000,100,0.2,0.6,0.3,960,171
1000,100,0.3,0.6,0.01,877,950
1000,100,0.3,0.6,0.05,880,563
1000,100,0.3,0.6,0.1,826,514
1000,100,0.3,0.6,0.2,911,929
1000,100,0.3,0.6,0.3,993,897
