Population Size,Tournament Size,Mutation Rate,Best Value for Solution Found,Generation Solution Found
100,10,0.01,0.0024875621890547263,207
100,10,0.02,0.0025252525252525255,359
100,10,0.03,0.002369668246445498,957
100,10,0.04,0.0024154589371980675,241
100,10,0.05,0.002352941176470588,672
100,10,0.06,0.002352941176470588,651
100,10,0.07,0.0024449877750611247,152
100,10,0.08,0.002398081534772182,176
100,10,0.09,0.002386634844868735,285
100,10,0.1,0.002398081534772182,820
100,10,0.11,0.002331002331002331,301
100,10,0.12,0.0024271844660194173,153
100,10,0.13,0.0023752969121140144,977
100,10,0.14,0.002380952380952381,586
100,10,0.15,0.002320185614849188,183
100,10,0.16,0.002232142857142857,518
100,10,0.17,0.002257336343115124,728
100,10,0.18,0.002380952380952381,61
100,10,0.19,0.002232142857142857,837
100,10,0.2,0.0024271844660194173,327
100,10,0.21,0.0022988505747126436,32
100,10,0.22,0.002320185614849188,770
100,10,0.23,0.002242152466367713,653
100,10,0.24,0.0023752969121140144,67
100,10,0.25,0.002277904328018223,145
100,10,0.26,0.002277904328018223,875
100,10,0.27,0.002352941176470588,746
100,10,0.28,0.0023148148148148147,361
100,10,0.29,0.0021645021645021645,449
100,10,0.3,0.0022624434389140274,15
100,10,0.31,0.002288329519450801,336
100,10,0.32,0.0022371364653243847,826
100,10,0.33,0.0021929824561403508,812
100,10,0.34,0.0023148148148148147,181
100,10,0.35,0.002531645569620253,411
100,10,0.36,0.0022026431718061676,769
100,10,0.37,0.0021321961620469083,789
100,10,0.38,0.0022172949002217295,547
100,10,0.39,0.002183406113537118,150
100,10,0.4,0.0021645021645021645,37
100,10,0.41,0.002183406113537118,394
100,10,0.42,0.0023094688221709007,296
100,10,0.43,0.002369668246445498,127
100,10,0.44,0.002053388090349076,581
100,10,0.45,0.002173913043478261,239
100,10,0.46,0.0020876826722338203,118
100,10,0.47,0.0021598272138228943,133
100,10,0.48,0.002044989775051125,421
100,10,0.49,0.002150537634408602,431
100,10,0.5,0.002173913043478261,600
100,10,0.51,0.002127659574468085,930
100,10,0.52,0.0019880715705765406,138
100,10,0.53,0.0020876826722338203,443
100,10,0.54,0.0020491803278688526,488
100,10,0.55,0.002061855670103093,788
100,10,0.56,0.002053388090349076,470
100,10,0.57,0.0020242914979757085,761
100,10,0.58,0.002178649237472767,170
100,10,0.59,0.0019342359767891683,64
100,10,0.6,0.0020161290322580645,763
100,10,0.61,0.002079002079002079,45
100,10,0.62,0.00202020202020202,676
100,10,0.63,0.002109704641350211,427
100,10,0.64,0.002012072434607646,121
100,10,0.65,0.0021231422505307855,289
100,10,0.66,0.002004008016032064,946
100,10,0.67,0.001949317738791423,176
100,10,0.68,0.002044989775051125,865
100,10,0.69,0.001968503937007874,390
100,10,0.7,0.002012072434607646,347
100,10,0.71,0.00202020202020202,372
100,10,0.72,0.0019801980198019802,38
100,10,0.73,0.001937984496124031,596
100,10,0.74,0.0019880715705765406,365
100,10,0.75,0.0020408163265306124,777
100,10,0.76,0.0019083969465648854,645
100,10,0.77,0.001893939393939394,373
100,10,0.78,0.0019267822736030828,624
100,10,0.79,0.002028397565922921,311
100,10,0.8,0.002053388090349076,137
100,10,0.81,0.0019230769230769232,189
100,10,0.82,0.001890359168241966,708
100,10,0.83,0.001941747572815534,809
100,10,0.84,0.0021141649048625794,167
100,10,0.85,0.0019193857965451055,825
100,10,0.86,0.0018181818181818182,559
100,10,0.87,0.0019011406844106464,362
100,10,0.88,0.001941747572815534,393
100,10,0.89,0.0019342359767891683,926
100,10,0.9,0.0017953321364452424,27
100,10,0.91,0.0019157088122605363,641
100,10,0.92,0.001893939393939394,481
100,10,0.93,0.0018726591760299626,325
100,10,0.94,0.0018832391713747645,478
100,10,0.95,0.0017699115044247787,466
100,10,0.96,0.0017985611510791368,951
100,10,0.97,0.0018975332068311196,707
100,10,0.98,0.0019455252918287938,27
100,10,0.99,0.0018832391713747645,680
100,10,1.0,0.002012072434607646,730
